idx,phi_re,phi_im,psi_re,psi_im
409,-0.007940,-0.517577,0.999882,-0.015340
410,-0.046340,-0.515560,0.995985,-0.089522
411,-0.084484,-0.510697,0.986591,-0.163211
412,-0.122162,-0.503017,0.971753,-0.235999
413,-0.159166,-0.492560,0.951553,-0.307484
414,-0.195291,-0.479386,0.926102,-0.377273
415,-0.230339,-0.463566,0.895540,-0.444980
416,-0.264115,-0.445188,0.860037,-0.510232
417,-0.296435,-0.424353,0.819788,-0.572668
418,-0.327118,-0.401177,0.775015,-0.631943
419,-0.355996,-0.375787,0.725965,-0.687732
420,-0.382910,-0.348323,0.672909,-0.739725
421,-0.407711,-0.318937,0.616140,-0.787637
422,-0.430262,-0.287792,0.555971,-0.831202
423,-0.450438,-0.255058,0.492734,-0.870180
424,-0.468129,-0.220916,0.426777,-0.904357
425,-0.483237,-0.185556,0.358466,-0.933543
426,-0.495678,-0.149171,0.288177,-0.957577
427,-0.505384,-0.111964,0.216297,-0.976328
428,-0.512301,-0.074138,0.143224,-0.989690
429,-0.516391,-0.035904,0.069361,-0.997592
430,-0.517632,0.002529,-0.004886,-0.999988
431,-0.516016,0.040948,-0.079105,-0.996866
432,-0.511553,0.079140,-0.152888,-0.988244
433,-0.504266,0.116896,-0.225827,-0.974167
434,-0.494197,0.154007,-0.297520,-0.954716
435,-0.481401,0.190269,-0.367571,-0.929996
436,-0.465949,0.225480,-0.435594,-0.900143
